created_at,full_text,clean_tweet,stopword_tweet,stemmer_tweet,label_inset,label_senti
2022-01-30 23:59:30,TECHNOPRENEUR 3.0 Keseluruhan dari kegiatan ini akan diselenggarakan secara online pada:  📌17 Februari 2022 : Puncak acara  🔴 Live Streaming Youtube SMA Budi Luhur https://t.co/ppOHMDkaL5,technopreneur keseluruhan dari kegiatan ini akan diselenggarakan secara online pada februari puncak acara live streaming youtube sma budi luhur https t co ppohmdkal ,technopreneur diselenggarakan online februari puncak live streaming youtube sma budi luhur https t co ppohmdkal,technopreneur selenggara online februari puncak live streaming youtube sma budi luhur https t co ppohmdkal,pos,neg
2022-01-30 23:59:22,OSIS SMA &amp  SMK Budi Luhur Proudly Present:  💫 TECHNOPRENEUR 3.0 💫  Perlombaan E-Sport dan Seni Jenjang SMP &amp  SMA! https://t.co/sSfBpwlO51,osis sma amp smk budi luhur proudly present technopreneur perlombaan e sport dan seni jenjang smp amp sma https t co ssfbpwlo ,osis sma amp smk budi luhur proudly present technopreneur perlombaan e sport seni jenjang smp amp sma https t co ssfbpwlo,osis sma amp smk budi luhur proudly present technopreneur lomba e sport seni jenjang smp amp sma https t co ssfbpwlo,neg,neg
2022-01-30 18:37:14,@rsapu7ra Nomer 4 ke mana bro,nomer ke mana bro,nomer,nomer,neg,neg
2022-01-30 13:17:15,"@Jono73995515 @HusinShihab Rahmatan lil alamin akan terwujud dgn ahlakul kharimah / budi pekerti luhur. Mabi Muhamad saw, diturunkan utk memperbaiki ahlak.",rahmatan lil alamin akan terwujud dgn ahlakul kharimah budi pekerti luhur mabi muhamad saw diturunkan utk memperbaiki ahlak,rahmatan lil alamin terwujud ahlakul kharimah budi pekerti luhur mabi muhamad saw diturunkan memperbaiki ahlak,rahmat lil alamin wujud ahlakul kharimah budi pekerti luhur mabi muhamad saw turun baik ahlak,neg,pos
2022-01-30 11:00:52,Agama bukan sesuatu yang butuh promosi kayak barang jualan ya bege. Lu sekolah ga sih kok kayak ga diajarin budi pekerti luhur selayaknya manusia pada umumnya 🤨,agama bukan sesuatu yang butuh promosi kayak barang jualan ya bege lu sekolah ga sih kok kayak ga diajarin budi pekerti luhur selayaknya manusia pada umumnya ,agama butuh promosi kayak jualan bege sekolah ga kayak ga diajarin budi pekerti luhur selayaknya manusia,agama butuh promosi kayak jual bege sekolah ga kayak ga diajarin budi pekerti luhur layak manusia,neg,pos
2022-01-30 10:12:59,Sebaik baiknya dari kalian orang iman adalah orang iman yang lebih luhur budi pekertinya ~ HR Bukhori #jokam #jokamlicious,sebaik baiknya dari kalian orang iman adalah orang iman yang lebih luhur budi pekertinya hr bukhori jokam jokamlicious,baiknya iman iman luhur budi pekertinya hr bukhori jokam jokamlicious,baik iman iman luhur budi pekerti hr bukhori jokam jokamlicious,pos,pos
2022-01-30 10:06:46,Just posted a photo @ Apartemen Gateway Budi Luhur https://t.co/QFh22Zt3wn,just posted a photo apartemen gateway budi luhur https t co qfh zt wn,just posted photo apartemen gateway budi luhur https t co qfh zt wn,just posted photo apartemen gateway budi luhur https t co qfh zt wn,neg,neg
2022-01-30 09:57:11,Just posted a photo @ Universitas Budi Luhur https://t.co/5fcLZQyNoD,just posted a photo universitas budi luhur https t co fclzqynod,just posted photo universitas budi luhur https t co fclzqynod,just posted photo universitas budi luhur https t co fclzqynod,neg,neg
2022-01-30 07:24:39,Bukan kemarau yg kuharap Bukan pula panasnya matahari Yg ku pinta cerah dlm hidup Cerah berfikir serta luhur budi  #celahawan #BukanPuisi  #programfolback https://t.co/6zCJ9LHVoA,bukan kemarau yg kuharap bukan pula panasnya matahari yg ku pinta cerah dlm hidup cerah berfikir serta luhur budi celahawan bukanpuisi programfolback https t co zcj lhvoa,kemarau kuharap panasnya matahari ku pinta cerah dlm cerah berfikir luhur budi celahawan bukanpuisi programfolback https t co zcj lhvoa,kemarau harap panas matahari ku pinta cerah dlm cerah berfikir luhur budi celahawan bukanpuisi programfolback https t co zcj lhvoa,pos,pos
2022-01-30 04:13:39,Budi Luhur Luncurkan Desa Girikerto dan Wedomartani Jadi Desa Digital - https://t.co/Spsg0Qxh9o ......,budi luhur luncurkan desa girikerto dan wedomartani jadi desa digital https t co spsg qxh o,budi luhur luncurkan desa girikerto wedomartani desa digital https t co spsg qxh o,budi luhur luncur desa girikerto wedomartani desa digital https t co spsg qxh o,neg,neg
2022-01-30 04:13:35,Budi Luhur Luncurkan Desa Girikerto dan Wedomartani Jadi Desa Digital - https://t.co/Spsg0QOkbo,budi luhur luncurkan desa girikerto dan wedomartani jadi desa digital https t co spsg qokbo,budi luhur luncurkan desa girikerto wedomartani desa digital https t co spsg qokbo,budi luhur luncur desa girikerto wedomartani desa digital https t co spsg qokbo,neg,neg
2022-01-30 00:38:29,Budi Luhur Luncurkan Desa Girikerto dan Wedomartani Jadi Desa Digital - https://t.co/Spsg0Qxh9o,budi luhur luncurkan desa girikerto dan wedomartani jadi desa digital https t co spsg qxh o,budi luhur luncurkan desa girikerto wedomartani desa digital https t co spsg qxh o,budi luhur luncur desa girikerto wedomartani desa digital https t co spsg qxh o,neg,neg
2022-01-29 17:12:51,Sebaik baiknya dari kalian orang iman adalah orang iman yang lebih luhur budi pekertinya ~ HR Bukhori #jokam #jokamlicious,sebaik baiknya dari kalian orang iman adalah orang iman yang lebih luhur budi pekertinya hr bukhori jokam jokamlicious,baiknya iman iman luhur budi pekertinya hr bukhori jokam jokamlicious,baik iman iman luhur budi pekerti hr bukhori jokam jokamlicious,pos,pos
2022-01-29 13:31:49,Saya menemukan rekaman keren dari Tulus Hati Luhur Budi di #Smule: https://t.co/QbrPAYurJa,saya menemukan rekaman keren dari tulus hati luhur budi di smule https t co qbrpayurja,menemukan rekaman keren tulus hati luhur budi smule https t co qbrpayurja,temu rekam keren tulus hati luhur budi smule https t co qbrpayurja,pos,pos
2022-01-29 12:42:53,TECHNOPRENEUR 3.0 Keseluruhan dari kegiatan ini akan diselenggarakan secara online pada:  📌17 Februari 2022 : Puncak acara  🔴 Live Streaming Youtube SMA Budi Luhur https://t.co/gvg1YRR19k,technopreneur keseluruhan dari kegiatan ini akan diselenggarakan secara online pada februari puncak acara live streaming youtube sma budi luhur https t co gvg yrr k,technopreneur diselenggarakan online februari puncak live streaming youtube sma budi luhur https t co gvg yrr k,technopreneur selenggara online februari puncak live streaming youtube sma budi luhur https t co gvg yrr k,pos,neg
2022-01-29 12:42:43,OSIS SMA &amp  SMK Budi Luhur Proudly Present:  💫 TECHNOPRENEUR 3.0 💫  Perlombaan E-Sport dan Seni Jenjang SMP &amp  SMA! https://t.co/JhZ1OOFSrr,osis sma amp smk budi luhur proudly present technopreneur perlombaan e sport dan seni jenjang smp amp sma https t co jhz oofsrr,osis sma amp smk budi luhur proudly present technopreneur perlombaan e sport seni jenjang smp amp sma https t co jhz oofsrr,osis sma amp smk budi luhur proudly present technopreneur lomba e sport seni jenjang smp amp sma https t co jhz oofsrr,neg,neg
2022-01-29 12:41:20,Lo udah nonton Penyalin Cahaya?🧐  Ini reaksi dari beberapa Warga Kampus saat liat trailernya! Penasaran reaksi mereka kayak apa? Watch full version only on YouTube Radio Budi Luhur 107.7 fm https://t.co/XrJXIuPIKJ,lo udah nonton penyalin cahaya ini reaksi dari beberapa warga kampus saat liat trailernya penasaran reaksi mereka kayak apa watch full version only on youtube radio budi luhur fm https t co xrjxiupikj,nonton penyalin cahaya reaksi warga kampus liat trailernya penasaran reaksi kayak watch full version only on youtube radio budi luhur fm https t co xrjxiupikj,nonton salin cahaya reaksi warga kampus liat trailer penasaran reaksi kayak watch full version only on youtube radio budi luhur fm https t co xrjxiupikj,neg,neg
2022-01-29 12:05:15,"Radio Budi Luhur Official Coach Finally Release‼️  Hangout bareng temen?  Meeting bareng klien?  Apa buat ngampus?  BISA BANGET🙌🏼 Dengan desain pop art dan kekinian, coach ini cocok untuk keseharian Warga Kampus loh! https://t.co/q98IZG18kq",radio budi luhur official coach finally release hangout bareng temen meeting bareng klien apa buat ngampus bisa banget dengan desain pop art dan kekinian coach ini cocok untuk keseharian warga kampus loh https t co q izg kq,radio budi luhur official coach finally release hangout bareng temen meeting bareng klien ngampus desain pop art kekinian coach cocok keseharian warga kampus https t co q izg kq,radio budi luhur official coach finally release hangout bareng temen meeting bareng klien ngampus desain pop art kini coach cocok hari warga kampus https t co q izg kq,pos,pos
2022-01-29 10:49:07,@sbmptnfess kriminologi setahu aku kalau di ptn cuman ada di UI kalau di pts ada di univ islam riau sama univ budi luhur nder,kriminologi setahu aku kalau di ptn cuman ada di ui kalau di pts ada di univ islam riau sama univ budi luhur nder,kriminologi setahu ptn cuman ui pts univ islam riau univ budi luhur nder,kriminologi tahu ptn cuman ui pts univ islam riau univ budi luhur nder,pos,neg
2022-01-29 10:06:13,Budi Luhur in 80's✨ https://t.co/yoY1WwUuDz,budi luhur in s https t co yoy wwuudz,budi luhur in s https t co yoy wwuudz,budi luhur in s https t co yoy wwuudz,neg,neg
2022-01-29 04:51:27,Just posted a photo @ Apartemen Gateway Budi Luhur https://t.co/DoM2hBpdCc,just posted a photo apartemen gateway budi luhur https t co dom hbpdcc,just posted photo apartemen gateway budi luhur https t co dom hbpdcc,just posted photo apartemen gateway budi luhur https t co dom hbpdcc,neg,neg
