created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url,,,,,,,,,,,,,
Sun Jan 30 23:59:30 +0000 2022;1487938553107521538;TECHNOPRENEUR 3.0 Keseluruhan dari kegiatan ini akan diselenggarakan secara online pada:  📌17 Februari 2022 : Puncak acara  🔴 Live Streaming Youtube SMA Budi Luhur https://t.co/ppOHMDkaL5;0;1;0;0;in;1224243151;1487938518768754691;ambisfs;https://twitter.com/ambisfs/status/1487938553107521538,,,,,,,,,,,,,
Sun Jan 30 23:59:22 +0000 2022;1487938518768754691;OSIS SMA &amp  SMK Budi Luhur Proudly Present:  💫 TECHNOPRENEUR 3.0 💫  Perlombaan E-Sport dan Seni Jenjang SMP &amp  SMA! https://t.co/sSfBpwlO51;0;1;1;1;in;1224243151;1487938518768754691;ambisfs;https://twitter.com/ambisfs/status/1487938518768754691,,,,,,,,,,,,,
Sun Jan 30 18:37:14 +0000 2022;1487857453635018754;@rsapu7ra Nomer 4 ke mana bro;0;1;0;0;en;769773823;1487761588149170178;budi_luhur_kaca;https://twitter.com/budi_luhur_kaca/status/1487857453635018754,,,,,,,,,,,,,
Sun Jan 30 13:17:15 +0000 2022;1487776924973760515;@Jono73995515 @HusinShihab Rahmatan lil alamin akan terwujud dgn ahlakul kharimah / budi pekerti luhur. Mabi Muhamad saw, diturunkan utk memperbaiki ahlak.;0;1;0;3;in;1308687817300561920;1487700702788866048;BogaAndis;https://twitter.com/BogaAndis/status/1487776924973760515,,,,,,,,,,,,
Sun Jan 30 11:00:52 +0000 2022;1487742604154322945;Agama bukan sesuatu yang butuh promosi kayak barang jualan ya bege. Lu sekolah ga sih kok kayak ga diajarin budi pekerti luhur selayaknya manusia pada umumnya 🤨;0;0;0;0;in;849105139;1487742604154322945;flyinghydrangea;https://twitter.com/flyinghydrangea/status/1487742604154322945,,,,,,,,,,,,,
Sun Jan 30 10:12:59 +0000 2022;1487730552983928834;Sebaik baiknya dari kalian orang iman adalah orang iman yang lebih luhur budi pekertinya ~ HR Bukhori #jokam #jokamlicious;0;0;0;1;in;2476435299;1487730552983928834;Jokamlicious;https://twitter.com/Jokamlicious/status/1487730552983928834,,,,,,,,,,,,,
Sun Jan 30 10:06:46 +0000 2022;1487728989548466176;Just posted a photo @ Apartemen Gateway Budi Luhur https://t.co/QFh22Zt3wn;0;0;0;0;en;1280745674644963328;1487728989548466176;nails_rosie;https://twitter.com/nails_rosie/status/1487728989548466176,,,,,,,,,,,,,
Sun Jan 30 09:57:11 +0000 2022;1487726579065270276;Just posted a photo @ Universitas Budi Luhur https://t.co/5fcLZQyNoD;0;0;0;0;en;253746389;1487726579065270276;fti_budiluhur;https://twitter.com/fti_budiluhur/status/1487726579065270276,,,,,,,,,,,,,
Sun Jan 30 07:24:39 +0000 2022;1487688191662768128;Bukan kemarau yg kuharap Bukan pula panasnya matahari Yg ku pinta cerah dlm hidup Cerah berfikir serta luhur budi  #celahawan #BukanPuisi  #programfolback https://t.co/6zCJ9LHVoA;0;2;2;9;in;1246468102973349888;1487688191662768128;MOCH216;https://twitter.com/MOCH216/status/1487688191662768128,,,,,,,,,,,,,
Sun Jan 30 04:13:39 +0000 2022;1487640126125920258;Budi Luhur Luncurkan Desa Girikerto dan Wedomartani Jadi Desa Digital - https://t.co/Spsg0Qxh9o ......;0;0;0;0;in;817669043792420864;1487640126125920258;kalderanews;https://twitter.com/kalderanews/status/1487640126125920258,,,,,,,,,,,,,
Sun Jan 30 04:13:35 +0000 2022;1487640108970831873;Budi Luhur Luncurkan Desa Girikerto dan Wedomartani Jadi Desa Digital - https://t.co/Spsg0QOkbo;0;0;0;0;in;817669043792420864;1487640108970831873;kalderanews;https://twitter.com/kalderanews/status/1487640108970831873,,,,,,,,,,,,,
Sun Jan 30 00:38:29 +0000 2022;1487585975677353988;Budi Luhur Luncurkan Desa Girikerto dan Wedomartani Jadi Desa Digital - https://t.co/Spsg0Qxh9o;0;0;0;0;in;817669043792420864;1487585975677353988;kalderanews;https://twitter.com/kalderanews/status/1487585975677353988,,,,,,,,,,,,,
Sat Jan 29 17:12:51 +0000 2022;1487473830998470657;Sebaik baiknya dari kalian orang iman adalah orang iman yang lebih luhur budi pekertinya ~ HR Bukhori #jokam #jokamlicious;0;0;0;0;in;2476435299;1487473830998470657;Jokamlicious;https://twitter.com/Jokamlicious/status/1487473830998470657,,,,,,,,,,,,,
Sat Jan 29 13:31:49 +0000 2022;1487418204418760709;Saya menemukan rekaman keren dari Tulus Hati Luhur Budi di #Smule: https://t.co/QbrPAYurJa;0;0;0;0;in;777686001493782528;1487418204418760709;imus_75kayu;https://twitter.com/imus_75kayu/status/1487418204418760709,,,,,,,,,,,,,
Sat Jan 29 12:42:53 +0000 2022;1487405889099546624;TECHNOPRENEUR 3.0 Keseluruhan dari kegiatan ini akan diselenggarakan secara online pada:  📌17 Februari 2022 : Puncak acara  🔴 Live Streaming Youtube SMA Budi Luhur https://t.co/gvg1YRR19k;0;1;0;2;in;1201673806156161025;1487405848804859904;schfess;https://twitter.com/schfess/status/1487405889099546624,,,,,,,,,,,,,
Sat Jan 29 12:42:43 +0000 2022;1487405848804859904;OSIS SMA &amp  SMK Budi Luhur Proudly Present:  💫 TECHNOPRENEUR 3.0 💫  Perlombaan E-Sport dan Seni Jenjang SMP &amp  SMA! https://t.co/JhZ1OOFSrr;3;1;3;10;in;1201673806156161025;1487405848804859904;schfess;https://twitter.com/schfess/status/1487405848804859904,,,,,,,,,,,,,
Sat Jan 29 12:41:20 +0000 2022;1487405500522057731;Lo udah nonton Penyalin Cahaya?🧐  Ini reaksi dari beberapa Warga Kampus saat liat trailernya! Penasaran reaksi mereka kayak apa? Watch full version only on YouTube Radio Budi Luhur 107.7 fm https://t.co/XrJXIuPIKJ;0;1;0;5;in;93356134;1487405500522057731;RadioBudiLuhur;https://twitter.com/RadioBudiLuhur/status/1487405500522057731,,,,,,,,,,,,,
Sat Jan 29 12:05:15 +0000 2022;1487396419816550402;Radio Budi Luhur Official Coach Finally Release‼️  Hangout bareng temen?  Meeting bareng klien?  Apa buat ngampus?  BISA BANGET🙌🏼 Dengan desain pop art dan kekinian, coach ini cocok untuk keseharian Warga Kampus loh! https://t.co/q98IZG18kq;0;1;0;3;in;93356134;1487396419816550402;RadioBudiLuhur;https://twitter.com/RadioBudiLuhur/status/1487396419816550402,,,,,,,,,,,,
Sat Jan 29 10:49:07 +0000 2022;1487377260135219201;@sbmptnfess kriminologi setahu aku kalau di ptn cuman ada di UI kalau di pts ada di univ islam riau sama univ budi luhur nder;0;0;0;0;in;1331816340072452096;1487376227388510211;inuklirrr;https://twitter.com/inuklirrr/status/1487377260135219201,,,,,,,,,,,,,
Sat Jan 29 10:06:13 +0000 2022;1487366464596164609;Budi Luhur in 80's✨ https://t.co/yoY1WwUuDz;0;1;0;1;in;889863810852339712;1487366464596164609;bbrrbbjj;https://twitter.com/bbrrbbjj/status/1487366464596164609,,,,,,,,,,,,,
Sat Jan 29 04:51:27 +0000 2022;1487287250811506693;Just posted a photo @ Apartemen Gateway Budi Luhur https://t.co/DoM2hBpdCc;0;0;0;0;en;1280745674644963328;1487287250811506693;nails_rosie;https://twitter.com/nails_rosie/status/1487287250811506693,,,,,,,,,,,,,
Sat Jan 29 03:56:05 +0000 2022;1487273318097235970;Budi Luhur Luncurkan Desa Girikerto dan Wedomartani Jadi Desa Digital - https://t.co/Spsg0Qxh9o;0;0;0;0;in;817669043792420864;1487273318097235970;kalderanews;https://twitter.com/kalderanews/status/1487273318097235970,,,,,,,,,,,,,
