created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url,,,,,,
Mon Jan 17 07:39:00 +0000 2022;1482980762400227332;Alhamdulillah telah dilaksanakan dengan lancar acara Bakti Sosial Himpunan Mahasiswa Teknik Informatika Universitas Budi Luhur pada tanggal 8 Januari 2022 yang berlokasi di Yayasan Obama Indonesia (Yoi Skul) Jakarta. https://t.co/CIDxS47TMa;0;1;0;0;in;173777799;1482980762400227332;himti_ubl;https://twitter.com/himti_ubl/status/1482980762400227332,,,,,,
Fri Jan 14 15:38:39 +0000 2022;1482014306124374021;Baru saja mengirim foto @ Universitas Budi Luhur https://t.co/DM1HQfNfTw;0;0;0;0;in;1231201156988207104;1482014306124374021;cekplagiasi_id;https://twitter.com/cekplagiasi_id/status/1482014306124374021,,,,,,
Wed Jan 12 12:35:00 +0000 2022;1481243311805714435;ptn! mau tanya tanya Universitas Budi Luhur dong, mana nih kating katingnya?;0;1;0;0;in;1241016981865693186;1481243311805714435;utbkfess;https://twitter.com/utbkfess/status/1481243311805714435,,,,,
Wed Jan 12 12:30:00 +0000 2022;1481242052910522371;ptn! mau tanya tanya tentang Universitas Budi Luhur dong,;0;0;0;0;in;1205629250423779328;1481242052910522371;sbmptnfess;https://twitter.com/sbmptnfess/status/1481242052910522371
Wed Jan 12 12:25:23 +0000 2022;1481240893026095107;Udah ga usah sedih... Yuk kamu bisa kembangkan bakatmu dalam bidang robotik di Teknik Elektro Universitas Budi Luhur 😉 https://t.co/gdG6ouihXi;0;0;0;0;in;191288328;1481238303722864645;kampusbudiluhur;https://twitter.com/kampusbudiluhur/status/1481240893026095107,,,,,
Wed Jan 12 05:36:16 +0000 2022;1481137933591941122;Ini dia dua peminatan yang ada di Arsitektur Universitas Budi Luhur, go check this out 👇😉  #architecture #Architect #studentlifematters https://t.co/sMPS2OuQWJ;0;1;0;1;in;191288328;1481134405620215810;kampusbudiluhur;https://twitter.com/kampusbudiluhur/status/1481137933591941122,,,,,
Wed Jan 12 05:35:07 +0000 2022;1481137646336638976;Yang jawab arsitektur binir bingits 😆  Keren banget kan~~~  Eh eh eh tapi kalau ngomongin arsitektur, Universitas Budi Luhur juga punya lho Program Studi Arsitektur. Penasaran peminatannya apa aja? Lanjut di next tweet ya~~;0;1;0;0;in;191288328;1481134405620215810;kampusbudiluhur;https://twitter.com/kampusbudiluhur/status/1481137646336638976,,,,,
Tue Jan 11 05:02:53 +0000 2022;1480767145495580673;Ini dia hasil dokumentasi penandatanganan MoU Universitas Budi Luhur dengan PT. Rise Lanskap Hortikultura. https://t.co/NBU44NqmBu;0;0;0;0;in;191288328;1480766343250997248;kampusbudiluhur;https://twitter.com/kampusbudiluhur/status/1480767145495580673,,,,,,
Tue Jan 11 04:58:50 +0000 2022;1480766126493614083;Dari sekian perguruan tinggi yang menampilkan produk inovasinya, terdapat 3 PTS dari El yang turut hadir dalam menampilkan produk inovasinya lhoo. Ketiga PTS tersebut adalah,  1. Universitas Bina Nusantara 2. Universitas Gunadarma 3. Universitas Budi Luhur;0;1;0;0;in;1082480504983543808;1480766124014723072;lldikti3;https://twitter.com/lldikti3/status/1480766126493614083,,,,
Sun Jan 09 07:45:55 +0000 2022;1480083399129718784;Hai Blutizen👋 tanggal 6 kemarin Universitas Budi Luhur baru saja menandatangani MoU kerjasama dengan SMA Budi Luhur 😃 https://t.co/YdSrxA2y3B;1;1;0;2;in;191288328;1480083399129718784;kampusbudiluhur;https://twitter.com/kampusbudiluhur/status/1480083399129718784,,,,,,
Fri Jan 07 13:38:18 +0000 2022;1479447302464884736;Blutizen juga mau kaya kak Yunita Ibrahim? 🤔  Yuk join Fakultas Ilmu Komunikasi Universitas Budi Luhur dan temukan passion-mu di sini 😉  https://t.co/gf0uQiEPjF;0;0;0;0;in;191288328;1479446099328786433;kampusbudiluhur;https://twitter.com/kampusbudiluhur/status/1479447302464884736,,,,,,
Fri Jan 07 13:33:31 +0000 2022;1479446099328786433;Blutizen 😃 mimin mau share prestasi yang didapat dari salah satu mahasiswi Fakultas Ilmu Komunikasi Universitas Budi Luhur, Yunita Ibrahim, yang berhasil menjadi bagian dari program Pejuang Muda 2021.  Cehck this out 😉 https://t.co/OAkSARWZXI;0;1;0;2;in;191288328;1479446099328786433;kampusbudiluhur;https://twitter.com/kampusbudiluhur/status/1479446099328786433,,,,
Wed Jan 05 19:01:25 +0000 2022;1478803842204528641;Kejuaraan virtual karate Internasional Universitas Budi Luhur 🥋🥋🥋 https://t.co/kxra0xJGiv;0;0;0;0;in;1404214846992785409;1478803842204528641;KMuflikh;https://twitter.com/KMuflikh/status/1478803842204528641,,,,,,
Sat Jan 01 01:10:15 +0000 2022;1477084723151138816;[TAHUN BARU 2022]  Hai bluTIzen 👋🏻 Salam Budi Luhur✋🏻 Kami dari Himpunan Mahasiswa Teknik Informatika Universitas Budi Luhur Mengucapkan Selamat Tahun Baru 2022 https://t.co/FpQ89vxOoN;0;1;0;1;in;173777799;1477084723151138816;himti_ubl;https://twitter.com/himti_ubl/status/1477084723151138816,,,,,,
Mon Mar 28 14:58:34 +0000 2022;1508458532710268932;Rektor Universitas Budi Luhur Wendi Usino mengatakan, Gowes Napak Tilas dilakukan untuk mengenang perjalanan Universitas Budi Luhur sejak awal terletak di kawasan Lapangan Banteng  https://t.co/p0mTmY9teg;0;0;0;0;in;68930552;1508458532710268932;mediaindonesia;https://twitter.com/mediaindonesia/status/1508458532710268932,,,,,
Sun Mar 27 04:58:39 +0000 2022;1507945172231159808;Calon Duta Blutizen 2022 Terpilih Universitas Budi Luhur Harus Paham Isu Terkini - https://t.co/jBNDFszg6h ..........;0;0;0;0;in;817669043792420864;1507945172231159808;kalderanews;https://twitter.com/kalderanews/status/1507945172231159808,,,,,,
Sun Mar 27 04:58:34 +0000 2022;1507945150550798338;Calon Duta Blutizen 2022 Terpilih Universitas Budi Luhur Harus Paham Isu Terkini - https://t.co/jBNDFszg6h;0;0;0;0;in;817669043792420864;1507945150550798338;kalderanews;https://twitter.com/kalderanews/status/1507945150550798338,,,,,,
Sat Mar 26 06:54:03 +0000 2022;1507611824014835719;Calon Duta Blutizen 2022 Terpilih yang Digelar Universitas Budi Luhur, Harus Paham Isu Terkini - https://t.co/6hFXFEv3Cf;0;0;0;0;in;817669043792420864;1507611824014835719;kalderanews;https://twitter.com/kalderanews/status/1507611824014835719,,,,,
Thu Mar 24 07:17:11 +0000 2022;1506892870153764865;Ini Penampakan Motor Listrik BL-SEV01 Buatan Universitas Budi Luhur https://t.co/C1VXuxGCMb;0;0;0;0;in;155169715;1506892870153764865;soloposdotcom;https://twitter.com/soloposdotcom/status/1506892870153764865,,,,,,
Thu Mar 24 04:23:56 +0000 2022;1506849271588573187;UBL pajang motor listrik BL-SEV01 di pameran UKM Mandalika 2022 - Universitas Budi Luhur (UBL) memajang sepeda motor listrik BL-SEV01 pada pameran UKM MotoGP Mandalika 2022 18-20 Maret lalu.  Tentunya kami sangat bangga bisa menjadi bagian dari perhelat… https://t.co/03E96gRrF3 https://t.co/kgZOr1Hp5Z;0;0;0;0;in;160049241;1506849271588573187;bengklmahaputra;https://twitter.com/bengklmahaputra/status/1506849271588573187,,,,,,
