ID;Saran
1;sangat baik
2;Semoga kedepannya jauh lebih baik lagi
3;Dosennya sangat baik, mungkin lebih memahami keadaan mahasiswa yang online misal ketika tiba tiba left bukan berarti mahasiswa tersebut malas tapi bisa jadi jaringannya dan sebagainya. Selebihnya dosennya sangat baik dalam mengajar.
4;Tidak ada keritik sangat baik
5;Ketika ada jadwal PTM sebaiknya dosen memberikan kepastian kehadirannya maximal H-1 sebelum jadwalnya
6;Baik
7;Terimakasih atas pengajarannya selama  1 semester ini ibuu, semoga kesehatan dan kebaikan selalu menyertai
8;Cukup baik
9;Maaf bu sebelumnya,Bagi saya cara mengajar ibu sudah baik dan efektif,tetapi cara penyampaian ibu untuk mengumpulkan tugas kurang begitu efektif,terimakasih semoga sehat selalu yaa,, 
10;Pelajari teknologi lebih dalam dan mengetik perintah dengan benar, ibu sudah S3 jangan tidak seperti S3 terima kasih dan mohon maaf kalo kalimat saya lancang ya bu
11;Cukup dimengerti
12;Semoga kedepannya sehat terus, dan makin bagus kinerja mengajar nya
13;Di harapkan untuk lebih responsif lagi dalam menjawab pertanyaan mahasiswa
14; 
15;semangat buat ibu semoga cara penyampaian pengajaran ibu lebih bisa di mengerti banyak oleh mahasiswa terima kasih atas pengajarannya buu
16;bagus 
17;Maaf bu sebelumnya, untuk di  1 semester ini bagi saya pembelajaran yang ibu sampaikan sangat baik bu, tetapi untuk penyampaian tugas nya kurang jelas bu jadi banyak temen saya yang misskom bu
18;"Dari segi cara mengajar lumayan efektif mudah di mengerti <br />
Tapi dari cara memberikan tugas\"" dan cara mengumpulkan nya sangat membingungkan"
19;Bagus
20;Sebaiknya jika menjelaskan materi jangan terlau banyak ngasih motivasi
21;Cukup baik
22;Dosennya dalam mengajar sesuai materi yang disampaikan, dosennya selalu memberikan arahan kepada mahasiswanya
23;materi yang dijelaskan cukup mudah di pahami
24;Terimakasih bu sudah ngajarin saya bahasa inggris
25;Terima kasih bu selama semester 1 ini telah membagi sebagian ilmu ibu kepada saya dan kami semua. Dan saya meminta maaf jika mempunyai salah kepada ibu.
26;Terima kasih bu
27;Sangat berguna untuk komunika dalam percakapan b.inggris
28;semoga kedepan nya cara mengajar ibu dosen bisa lebih baik lagi¿¿¿¿¿¿¿¿
29;Baik
30;saran saya hanya kurang-kurangi marah ya bu
31;Terima Kasih Ibu sudah mau mengajar:)
32;Semoga dapat menjadi lebih baik lagi bu
33;Tidak Ada
34;Baik
35;Baik
36;baik
37;Baik
38;Baik
39;Sehat slalu pak
40;-
41;Sulit dalam memahami jika ada tugas
42;Terima kasih
43;terimakasih bu
44;Mantap
45;baik
46;a
47;baik
48;Baik
49;"sangat baik dalamm mengajar<br />
"
50;Terima kasih untuk semester ini pak
51;Baik
52;.
53;Terima kasih bapak atau ibu yang telah memberikan tugas atau materi materi yang di sampaikan
54;Mantap pak the Beatles
55;Untuk waktu pengerjaan quiz, waktunya sangat cepat
56;Maaf dan Terima kasih bu
57;mantap
58;terima kasih banyak ya pak untuk bimbingannya
59;terimakasih pak
60;Di pertahankan pak dalam hal mengajarnya 
61;. 
62;SANGAT BAIK
63;terima kasih
64;Good
65;Terimakasih
66;mantab pak
67;Baik
68;Trimakasih atas pengajaran nya di semester ini
69;"Terima kasih<br />
"
70;Baik
71;Good
72;baik
73;mantap pakk, tidak ada saran dari saya,terimakasih atas ilmu yang di berikan
74;Terima kasih pak
75;mantapp pak,tidak ada sarann dari sayaa
76;tidak ada saran, semua baik
77;Thanks pak asep mantap laah 
78;Sudah sangat baik dalam mengajar
79;Terima kasih atas 1 semester nya bapak untuk ilmu ilmu bermanfaatnya
80;Baik
81;terimakasih untuk 1 semester nya
82;Terimakasih
83;Oke sangat mengayomi, dan tidak ragu ragu menghubungi mahasiswa
84;Sehat selalu pak
85;Moga makin bauk kedepannya
86;Baikk
87;cool
88;.
89;Baik
90;TERIMA KASIH PAK
91;Sudah baik dalam menyampaikan materi, Terimakasih Pak
92;Baik, terima kasih
93;Sangat baik
94;mantap pak asep
95;lebih baik kedepanya
96;Terima kasih
97;ok
98;Mantap pak
99;Sehat selalu pak
100;sudah baik
101;Lebih Ditingkatkan
102;semoga lebih baik
103;Terimakasih
104;Terimakasih banyak pak 
105;.
106;sangat baik
107;Terimakasih pak
108;-
109;Sangat vaim
110;l
111;Dosen nya enak, penuh semangat dalam mengajar
112;tidak ada
113;Baik
114;Terimakasih banyak pak
115;The best
116;Sangat baik
117;Baik
118;Baik
119;baik
120;.
121;Terima kasih untuk ilmu yang diajarkan dan ilmu yang disampaikan mudah dimengerti.
122;Mntp pak
123;Dosen yang sangat memerhatikan mahasiswa
124;tidak ada
125;Baik
126;BAIK
127;Semoga lebih baik lagi
128;Thanks pak sovan
129;Terimakasih
130;mantab pak
131;. 
132;Baik
133;Harus lebih di tingkatkan lagi proses pembelajaran, yaitu entah offline atau pun onine (hybride)
134;Cukup baik
135;baik
136;Tidak Ada
137;.
138;Baik
139;Baik
140;.
141;biak
142;.
143;Baik
144;.
145;mantap
146;Tidak ada
147;tidak ada sudah cukup, terima kasih.
148;semoga jadi lebih baik lagi 
149;.
150;Baik
151;B
152;makasih pak
153;cukup
154;. 
155;.
156;terima kasih pak
157;Not bad
158;Mudah dipahami
159;Semoga nilainya bagus semua
160;Terimakasih Bu
161;-
162;Kurang nya perhatian kepada mahasiswa yg kuliah online 
163;.
164;Terimakasih bu atas pembelajarannya di semester ini
165;Kritik dari saya adalah dari segi pengajarannya yang membuat kurang mengertinya mahasiswa dalam mempelajari pelajaran tersebut. Saran dari saya adalah perbanyak lagi cara pembelajaran yang lain, agar mudah dipahami oleh para mahasiswa.
166;Semoga ibu bisa lebih berkomunikasi lebih baik lagi dengan para mahasiswa.
167;terima kasih bu atas ilmunya selama 1 semester ini¿¿¿¿
168;"Kalau ngasih tugas jangan banyak\"" Bu dan deadline nya jangan terlalu cepat"
169;Pertahankan cara pembelajaran nya dan lebih detail lagi materinya
170;"Terima kasih pengajaran ibu<br />
Semoga kedepan lebih baik dalam karirnya¿¿¿¿"
171;baik
172;sudah sangat baik
173;baik
174;Baik
175;Mohon diperhatikan lagi waktu untuk pengumpulan tugasnya
176;tetap semangat dalam memberikan materi kepada mahasiswa
177;"Maaf Bu jika saya sesekali tidak Dateng tepat waktu<br />
"
178;tidak ada kritik
179;enak banget di ajarin sama bu dwi hehehehe
180;Dosen baik dan mudah dimengerti
181;tidak ada
182;Terimakasih Bu, Telah mengajarkan ilmu-ilmu tentang kalkulus, sehat selalu Bu
183;dosen yang baik
184;bagus
185;Baik
186;tidak ada
187;Kritik, waktu deadline terlalu pendek yaitu hanya 2 jam, sedangkan setelah matkul ini ada matkul lain. mahasiswa juga butuh waktu untuk mencerna materi yang telah diterangkan.
