malware,class,_llseek,accept,access,bind,brk,capget,chmod,chown32,clock_gettime,clone,close,connect,dup,dup2,epoll_create,epoll_ctl,epoll_wait,error,execve,exit,exit_group,fchmod,fchown32,fcntl64,fdatasync,flock,fork,fstat64,fsync,ftruncate,ftruncate64,futex,getdents64,getegid32,geteuid32,getgid32,getpid,getppid,getpriority,getresgid32,getresuid32,getrlimit,getsockname,getsockopt,gettid,gettimeofday,getuid,getuid32,ioctl,lseek,lstat64,madvise,mkdir,mmap2,mount,mprotect,mremap,munmap,nanosleep,open,pipe,poll,prctl,pread,pwrite,read,readlink,recv,recvfrom,rename,restart_syscall,rmdir,rt_sigreturn,rt_sigtimedwait,sched_getparam,sched_getscheduler,sched_yield,select,setgid32,setgroups32,setpgid,setpriority,setregid32,setresgid32,setresuid32,setreuid32,setsid,setsockopt,setuid32,shutdown,sigaction,sigprocmask,sigreturn,socket,socketpair,stat64,statfs64,sync,syscall_983042,syscall_983045,tgkill,umask,uname,unlink,utimes,vfork,wait4,write,writev
Ans2,Y,0,0,1419,16,0,0,162,0,47424,21,1151,33,87,0,0,32,11012,28,0,12,0,0,670,5207,70,0,0,2788,31,0,0,29618,0,0,0,0,8319,0,427,0,0,0,31,31,834,5256,0,7434,15868,30,31,1880,0,776,0,13713,17,584,64,947,0,15,21,1795,137,2056,0,745,9524,29,302,0,0,61,0,0,6,1,0,0,0,21,0,0,0,0,0,40,0,0,0,5367,0,33,0,1690,40,0,6612,3,0,3350,1,31,0,0,0,3442,373
Ans2b,Y,0,0,2240,18,0,0,282,0,31633,19,1613,34,57,0,0,10,12046,30,0,9,0,0,1026,7979,120,0,0,4328,88,0,0,29833,0,0,0,0,8709,0,345,0,0,0,36,32,773,7943,0,7931,5034,28,88,2531,0,564,0,12914,29,366,56,1471,0,15,19,2683,237,460,0,230,1924,86,51,0,0,10,0,0,5,0,0,0,0,19,0,0,0,0,0,45,0,0,0,4701,0,34,0,2573,40,0,6279,2,0,5130,0,88,0,0,0,1326,1657
Ans5,Y,0,0,295,17,0,0,42,0,24397,28,401,33,15,0,0,0,2470,15,0,28,0,0,0,84,0,0,0,161,36,0,0,16286,0,0,0,0,2083,0,235,0,0,0,34,35,448,196,0,1741,8825,532,42,734,0,475,0,5541,16,450,49,342,0,17,28,6,0,1487,0,282,5874,34,222,0,0,108,0,0,4,0,0,0,0,28,0,0,0,0,0,47,0,18,0,8221,0,33,0,169,0,0,2666,7,0,0,0,40,0,0,0,2300,387
Ans7,Y,0,0,132,2,0,0,10,0,389465,292,379,4,306,0,0,1,264437,30,0,278,0,0,0,10,0,0,0,43,10,0,0,2860843,0,0,0,0,97401,0,353,0,0,0,4,5,649,782,0,96748,2528976,0,10,1952,0,732,0,7486,16,692,1898,28,0,2,276,160,0,81698,0,151,182874,9,586,0,0,212,0,0,130,0,0,0,0,276,0,0,0,0,0,4,0,0,0,2206,0,4,0,61,0,0,2973,67,0,0,0,9,0,0,0,82205,538
Bb3,Y,0,0,67,0,0,0,10,0,265239,392,460,0,403,0,0,4,10585,23,0,384,0,0,0,1,0,0,0,51,10,0,0,18730554,0,0,0,0,5883,0,166,0,0,0,0,0,631,462,0,5248,4823967,1,10,2866,3,642,0,18518,30,605,199759,44,0,0,384,120,0,5427,0,9524,37087,10,8,0,0,16,0,0,15,0,0,0,0,384,0,0,0,0,0,0,0,0,0,3791,0,0,0,65,0,0,6351,113,0,0,0,10,0,0,0,5748,214
Bb3b,Y,0,0,52,0,0,0,9,0,509836,350,407,0,359,0,0,2,23201,24,0,339,0,0,0,1,0,0,0,35,9,0,0,13504333,0,0,0,0,15599,0,186,0,0,0,0,0,562,402,0,15036,7984721,1,9,1536,0,611,0,20312,37,567,570064,30,0,0,342,119,0,15233,0,8512,74693,9,1,0,0,9,0,0,11,0,0,0,0,342,0,0,0,0,0,0,0,0,0,3726,0,0,0,60,0,0,6274,77,0,0,0,9,0,0,0,18911,211
Dd1,Y,0,0,326,47,0,0,135,0,16042,68,632,94,76,0,4,24,3947,43,0,57,0,0,3,190,5,0,0,575,88,2,0,14112,8,4,4,4,3374,0,835,0,0,0,92,59,1387,2762,0,2125,6143,4,106,900,2,629,0,7841,9,271,104,461,4,14,66,64,29,1582,0,306,2327,88,123,0,22,116,41,41,27,0,0,0,0,145,0,0,0,0,0,106,0,0,44,3044,0,93,2,326,1,0,3499,10,22,15,0,105,0,0,0,3122,705
Dd1b,Y,0,0,219,28,0,0,91,0,10380,55,413,54,62,0,4,20,2804,32,0,44,0,0,2,116,0,0,0,366,61,2,0,15336,6,4,4,4,2210,0,534,0,0,0,54,36,961,1810,0,1319,4448,4,74,743,0,516,0,6082,8,194,74,287,4,9,53,62,0,930,0,78,1096,61,154,0,11,149,20,20,19,0,0,0,0,70,0,0,0,0,0,63,0,0,22,2406,0,55,2,243,1,0,2682,10,11,10,0,70,0,0,0,1967,444
Dd2,Y,22,0,130,21,0,0,3,0,698021,107,1406,216,177,0,2,323,406315,124,0,87,0,0,26,658,67,0,0,616,3,0,0,30691,12,0,0,0,251247,0,963,0,0,0,129,107,2133,910339,0,249038,19997,0,4,1864,0,656,0,12762,20,483,537,990,2,0,105,475,1243,911502,0,242,16148,2,9,0,84,26,193,193,52,0,0,0,0,149,0,0,0,0,0,238,0,0,168,3822,0,216,0,155,0,0,6703,23,84,130,0,27,0,0,0,8799,9449
Dd2b,Y,22,0,121,13,0,0,6,0,411947,83,500,116,93,0,6,179,235139,40,0,65,0,0,21,530,49,0,0,308,4,6,0,19294,4,4,4,4,130041,0,554,0,0,0,70,57,1302,4438,0,128723,34695,7,9,582,3,588,0,9465,9,347,334,311,6,0,75,340,822,12406,0,57,34911,3,7,0,10,11,22,22,40,0,0,0,0,97,0,0,0,0,0,130,0,0,20,2904,0,117,2,117,1,0,5104,11,10,105,0,28,0,0,0,15891,1193
